year,tract,Total_Pop,Black,White,Native_Hawaiian_or_Pacific_Islander,Asian,Native_American,Other,MedianRent,Moved in 2015 or later,Moved in 2017 or later,Built 2010 or later,SNAP benefits,Bachelor's degree,Median household income,Mean household income,Total_Housing_Units,Built_2014_or_Later,Built_2010_or_Later,Moved_In_2010_or_Later,Percent_Service_Occupations,Percent_Production_MaterialMoving_Transportation_Construction_Occupations,Percent_Management_Business_Science_Arts_Occupations,Percent_Sales_and_Office_Occupations,NAMELSAD
2016,"Census Tract 402, Erie County, Ohio",3646,54,7230,0,80,56,46,908,17,,,74708,304,56071,74708,16.7,0,0,315,16.7,21.5,29.4,20.6,Census Tract 402
2016,"Census Tract 403, Erie County, Ohio",6292,204,12299,21,48,327,51,751,31,,,86475,470,66719,86475,15.1,11,16,445,15.1,13.9,36.6,20.1,Census Tract 403
2016,"Census Tract 404, Erie County, Ohio",5381,54,10642,0,118,30,0,675,83,,,100300,776,70956,100300,17.4,37,34,397,17.4,6.3,47.9,19.8,Census Tract 404
2016,"Census Tract 405, Erie County, Ohio",4965,455,9775,0,15,0,18,786,109,,,65628,764,49879,65628,24.9,0,0,636,24.9,15.8,33.2,19.5,Census Tract 405
2016,"Census Tract 406, Erie County, Ohio",820,0,1594,0,69,12,0,871,8,,,123733,205,74688,123733,9.1,0,6,46,9.1,11.4,43.4,34.9,Census Tract 406
2016,"Census Tract 407, Erie County, Ohio",3888,2075,5943,32,72,149,122,643,35,,,53303,297,34153,53303,30.8,0,0,666,30.8,13.1,27.7,25.5,Census Tract 407
2016,"Census Tract 408, Erie County, Ohio",4169,2068,6112,237,113,30,232,590,144,,,35727,346,29032,35727,38.5,0,0,932,38.5,27,10.6,20.4,Census Tract 408
2016,"Census Tract 409, Erie County, Ohio",3382,610,6236,0,39,0,92,673,73,,,45248,263,37711,45248,24.9,0,11,462,24.9,20,25.7,18.4,Census Tract 409
2016,"Census Tract 410, Erie County, Ohio",3482,2608,4483,0,5,56,228,571,73,,,37667,245,32606,37667,42.3,0,0,600,42.3,15.9,16.6,20.8,Census Tract 410
2016,"Census Tract 411, Erie County, Ohio",3565,2207,5397,0,0,127,59,595,49,,,38842,164,28535,38842,25.8,7,0,490,25.8,27.6,25.5,14.1,Census Tract 411
2016,"Census Tract 412, Erie County, Ohio",2239,1619,3097,0,0,25,206,722,116,,,43424,154,34881,43424,22.4,0,0,315,22.4,27,19.9,24.5,Census Tract 412
